EDEN Station Name	UTM E Zone 17N (m NAD83)	UTM N Zone 17N (m NAD83)	Location Area	Vertical Datum for Water Level Data	Vertical Conversion at Gage (ft) (NGVD29 to NAVD88)
2A300	559111.67473	2903114.43482	Water Conservation Area 2A	NAVD88	-1.50
3A-5	529481.02765	2881992.64505	Water Conservation Area 3A	NAVD88	-1.48
3A10	525980.05034	2906666.28749	Water Conservation Area 3A	NAVD88	-1.45
3A11	525605.14243	2899897.81733	Water Conservation Area 3A	NAVD88	-1.45
3A12	532417.15212	2894468.13420	Water Conservation Area 3A	NAVD88	-1.46
3A9	535234.77659	2889368.94922	Water Conservation Area 3A	NAVD88	-1.47
3AN1W1	525972.57832	2896545.47425	Water Conservation Area 3A	NAVD88	-1.45
3ANE	539459.06862	2906638.86975	Water Conservation Area 3A	NAVD88	-1.46
3ANW	521937.21205	2905238.33655	Water Conservation Area 3A	NAVD88	-1.40
3AS	531579.53911	2884991.38394	Water Conservation Area 3A	NAVD88	-1.47
3AS3W1	522955.75150	2859933.84066	Water Conservation Area 3A	NAVD88	-1.50
3ASW	516424.37867	2874596.98244	Water Conservation Area 3A	NAVD88	-1.47
3B-SE	550178.69190	2852319.04751	Water Conservation Area 3B	NAVD88	-1.56
3BS1W1	549012.05360	2851484.11647	Water Conservation Area 3B	NAVD88	-1.55
A13	528887.42703	2820049.80760	Everglades National Park	NAVD88	-1.51
BCA1	467985.59625	2902579.23122	Big Cypress National Preserve	NAVD88	-1.39
BCA10	497798.55400	2843968.88914	Big Cypress National Preserve	NAVD88	-1.43
BCA11	489974.43379	2852339.52645	Big Cypress National Preserve	NAVD88	-1.43
BCA12	491340.70229	2896882.11973	Big Cypress National Preserve	NAVD88	-1.39
BCA13	494638.95876	2885990.32312	Big Cypress National Preserve	NAVD88	-1.39
BCA14	469987.92123	2880640.29297	Big Cypress National Preserve	NAVD88	-1.39
BCA15	497325.25700	2880093.25252	Big Cypress National Preserve	NAVD88	-1.42
BCA16	484432.60088	2881978.74774	Big Cypress National Preserve	NAVD88	-1.39
BCA17	483203.48713	2898406.98271	Big Cypress National Preserve	NAVD88	-1.36
BCA18	501686.05529	2898580.72980	Big Cypress National Preserve	NAVD88	-1.41
BCA19	479719.22432	2852793.27423	Big Cypress National Preserve	NAVD88	-1.41
BCA2	471164.52433	2897434.25941	Big Cypress National Preserve	NAVD88	-1.39
BCA20	506542.12181	2843182.06353	Big Cypress National Preserve	NAVD88	-1.47
BCA3	477845.59033	2893052.76204	Big Cypress National Preserve	NAVD88	-1.39
BCA4	489599.27602	2870950.61124	Big Cypress National Preserve	NAVD88	-1.43
BCA5	507368.80341	2872179.03558	Big Cypress National Preserve	NAVD88	-1.46
Tamiami_Canal_40-Mile_Bend_to_Monroe	501948.00000	2859226.00000	Big Cypress National Preserve	NGVD29	-1.46
Tamiami_Canal_Monroe_to_Carnestown	473771.00000	2863234.00000	Big Cypress National Preserve	NGVD29	-1.39
BCA8	472926.08999	2863560.77190	Big Cypress National Preserve	NAVD88	-1.39
BCA9	508801.01827	2851138.96385	Big Cypress National Preserve	NAVD88	-1.50
Bottle_Creek_at_Rookery_Branch	514652.96370	2816827.79800	Coast of Gulf of Mexico	NAVD88	-1.51
Broad_River_near_the_Cutoff	492287.91120	2820513.18100	Coast of Gulf of Mexico	NAVD88	-1.44
Upstream_Broad_River	506811.42540	2820460.21300	Coast of Gulf of Mexico	NAVD88	-1.47
C111_wetland_east_of_FIU_LTER_TSPH5	548320.95145	2797638.29183	Everglades National Park	NAVD88	-1.56
Chatham_River_near_the_Watson_Place	474967.37340	2843542.64400	Coast of Gulf of Mexico	NAVD88	-1.40
CP	529818.80732	2790185.11105	Everglades National Park	NAVD88	-1.54
CR2	538016.05741	2820226.39782	Everglades National Park	NAVD88	-1.52
CR3	533884.83229	2819999.99403	Everglades National Park	NAVD88	-1.52
CT27R	551472.27690	2798370.43230	Everglades National Park	NAVD88	-1.55
CT50R	548223.82309	2799681.09207	Everglades National Park	NAVD88	-1.56
CV5NR	551583.54304	2798524.65276	Everglades National Park	NAVD88	-1.55
CY2	531919.14205	2801262.92709	Everglades National Park	NAVD88	-1.51
CY3	525097.66035	2801279.28705	Everglades National Park	NAVD88	-1.51
DO1	531097.05947	2806182.40568	Everglades National Park	NAVD88	-1.51
DO2	525727.88067	2807985.85200	Everglades National Park	NAVD88	-1.51
E112	539240.68496	2811955.63341	Everglades National Park	NAVD88	-1.51
E146	533588.89016	2793085.20156	Everglades National Park	NAVD88	-1.54
EDEN_1	510514.97411	2860236.36843	Big Cypress National Preserve	NAVD88	-1.47
EDEN_10	538377.05792	2851960.82743	Water Conservation Area 3B	NAVD88	-1.54
EDEN_11	553893.79591	2918188.09869	Water Conservation Area 2A	NAVD88	-1.45
EDEN_12	541222.58584	2877040.84010	Water Conservation Area 3A	NAVD88	-1.49
EDEN_13	562816.46259	2895370.04681	Water Conservation Area 2B	NAVD88	-1.53
EDEN_14	524254.59256	2883396.96493	Water Conservation Area 3A	NAVD88	-1.47
EDEN_3	506727.06948	2821669.03987	Everglades National Park	NAVD88	-1.47
EDEN_4	549305.16927	2886113.29250	Water Conservation Area 3A	NAVD88	-1.48
EDEN_5	524715.51993	2889396.58287	Water Conservation Area 3A	NAVD88	-1.46
EDEN_6	509613.25637	2882916.51554	Big Cypress National Preserve	NAVD88	-1.45
EDEN_7	550198.50870	2870488.89024	Water Conservation Area 3B	NAVD88	-1.52
EDEN_8	532005.36025	2860957.07668	Water Conservation Area 3A	NAVD88	-1.51
EDEN_9	540732.67048	2900327.20623	Water Conservation Area 3A	NAVD88	-1.46
EPSW	549526.78839	2795102.69076	Everglades National Park	NAVD88	-1.53
EVER4	545619.80000	2802535.10000	Everglades National Park	NGVD29	-1.57
EVER6	549180.85904	2797931.26814	Everglades National Park	NAVD88	-1.54
