EDEN Station Name	Vegetation Community (Major/Secondary)	Vegetation Community	Average Ground Elevation (ft NAVD88)	Maximum Ground Elevation (ft NAVD88)	Minimum Ground Elevation (ft NAVD88)
2A300	Major	Wet prairie	8.70	8.93	8.52
2A300	Secondary	Ridge or sawgrass and emergent marsh	9.56	9.70	9.48
3A-5	Major	Wet prairie	7.71	8.07	7.45
3A-5	Secondary	Ridge or sawgrass and emergent marsh	8.36	8.43	8.30
3A10	Major	Exotics and cattail	9.13	9.24	8.95
3A11	Major	Wet prairie	9.85	9.98	9.70
3A11	Secondary	Ridge or sawgrass and emergent marsh	9.53	9.63	9.45
3A12	Major	Wet prairie	7.86	8.02	7.76
3A12	Secondary	Ridge or sawgrass and emergent marsh	7.74	7.85	7.60
3A9	Major	Slough or open water	8.19	8.28	8.09
3A9	Secondary	Ridge or sawgrass and emergent marsh	8.38	8.71	8.19
3AN1W1	Major	Wet prairie	8.79	8.96	8.68
3AN1W1	Secondary	Ridge or sawgrass and emergent marsh	8.77	8.88	8.65
3ANE	Major	Exotics and cattail	8.42	8.58	8.23
3ANE	Secondary	Ridge or sawgrass and emergent marsh	9.00	9.19	8.83
3ANE_GW	Major	Exotics and cattail	8.42	8.58	8.23
3ANE_GW	Secondary	Ridge or sawgrass and emergent marsh	9.00	9.19	8.83
3ANW	Major	Slough or open water	9.86	10.08	9.76
3ANW	Secondary	Ridge or sawgrass and emergent marsh	10.12	10.25	10.02
3ANW_GW	Major	Slough or open water	9.86	10.08	9.76
3ANW_GW	Secondary	Ridge or sawgrass and emergent marsh	10.12	10.25	10.02
3AS	Major	Slough or open water	7.85	8.07	7.65
3AS	Secondary	Ridge or sawgrass and emergent marsh	8.38	8.47	8.21
3AS3W1	Major	Ridge or sawgrass and emergent marsh	7.48	7.83	7.12
3AS3W1	Secondary	Slough or open water	6.30	6.42	6.08
3ASW	Major	Wet prairie	7.87	7.92	7.77
3ASW	Secondary	Ridge or sawgrass and emergent marsh	7.42	7.52	7.32
3B-SE	Major	Wet prairie	3.86	4.00	3.79
3B-SE	Secondary	Ridge or sawgrass and emergent marsh	3.51	4.12	2.90
3BS1W1	Major	Wet prairie	3.83	3.89	3.78
3BS1W1	Secondary	Ridge or sawgrass and emergent marsh	4.14	4.28	4.04
A13	Major	Ridge or sawgrass and emergent marsh	3.24	3.31	3.17
ANGEL	Major	N/A	4.73		
BARW4	Major	Canal			
BARW6A	Major	Canal			
BCA1	Major	Slough or open water	12.71	12.88	12.38
BCA1	Secondary	Ridge or sawgrass and emergent marsh	12.41	12.48	12.38
BCA10	Major	Other (mostly wetland shrub and wetland forested)	2.07	2.23	1.92
BCA10	Secondary	Wet prairie	1.61	1.76	1.49
BCA11	Major	Canal	2.86	2.88	2.85
BCA12	Major	Other (mostly wetland shrub and wetland forested)	12.08	12.43	11.48
BCA12	Secondary	Upland			
BCA13	Major	Other (mostly wetland shrub and wetland forested)	10.71	10.83	10.50
BCA13	Secondary	Upland			
BCA14	Major	Wet prairie	8.55	8.96	8.14
BCA14	Secondary	Upland			
BCA15	Major	Other (mostly wetland shrub and wetland forested)	9.57	9.66	9.46
BCA15	Secondary	Upland			
BCA16	Major	Wet prairie	9.61	9.73	9.52
BCA17	Major	Ridge or sawgrass and emergent marsh	12.41	12.54	12.24
BCA17	Secondary	Exotics and cattail	12.01	12.09	11.94
BCA18	Major	Wet prairie	11.28	11.41	11.08
BCA18	Secondary	Other (mostly wetland shrub and wetland forested)	12.29	12.40	12.17
BCA19	Major	Wet prairie	0.21	0.31	0.05
BCA19	Secondary	Other (mostly wetland shrub and wetland forested)	-0.16	-0.05	-0.31
BCA2	Major	Other (mostly wetland shrub and wetland forested)	11.46	11.96	10.88
BCA2	Secondary	Ridge or sawgrass and emergent marsh	12.26	12.38	12.16
BCA20	Major	Wet prairie	3.51	3.58	3.43
BCA20	Secondary	Ridge or sawgrass and emergent marsh	2.55	2.76	2.42
BCA3	Major	Wet prairie	12.21	12.30	12.13
BCA4	Major	Wet prairie	6.76	6.91	6.63
BCA4	Secondary	Upland			
BCA5	Major	Other (mostly wetland shrub and wetland forested)	8.19	8.28	8.08
BCA8	Major	Canal	1.03	1.31	0.70
BCA9	Major	Other (mostly wetland shrub and wetland forested)	5.47	5.81	5.01
BCA9	Secondary	Upland	5.85	5.86	5.85
BSC	Major	Open water (river, canal, bay, etc.)			
BSC	Secondary	Forest			
C111_wetland_east_of_FIU_LTER_TSPH5	Major	Ridge or sawgrass and emergent marsh	0.02	0.13	-0.04
CP	Major	Slough or open water	-1.49	-1.42	-1.58
CP	Secondary	Other (mostly wetland shrub and wetland forested)	-0.54	-0.46	-0.70
CR2	Major	Other (mostly wetland shrub and wetland forested)	4.12	4.55	3.12
CR3	Major	Wet prairie	4.03	4.26	3.91
CT27R	Major	Ridge or sawgrass and emergent marsh	0.21	0.26	0.14
CT27R	Secondary	Exotics and cattail	0.42	0.54	0.18
CT50R	Major	Ridge or sawgrass and emergent marsh	0.32	0.52	0.18
CT50R	Secondary	Other (mostly wetland shrub and wetland forested)	0.47	0.53	0.38
CV5NR	Major	Slough or open water	-4.25	-3.04	-4.89
CV5NR	Secondary	Upland			
CY2	Major	Other (mostly wetland shrub and wetland forested)	1.05	1.11	1.00
CY3	Major	Ridge or sawgrass and emergent marsh	0.70	0.84	0.54
CY3	Secondary	Other (mostly wetland shrub and wetland forested)			
DO1	Major	Wet prairie	1.48	1.67	1.31
DO2	Major	Other (mostly wetland shrub and wetland forested)	1.83	1.91	1.75
E112	Major	Wet prairie	2.43	2.72	1.98
E112	Secondary	Ridge or sawgrass and emergent marsh	2.71	3.02	2.42
E146	Major	Ridge or sawgrass and emergent marsh	-0.95	-0.83	-1.02
E146	Secondary	Other (mostly wetland shrub and wetland forested)	-0.46	-0.32	-0.56
EDEN_1	Major	Wet prairie	7.06	7.15	6.99
EDEN_10	Major	Ridge or sawgrass and emergent marsh	4.87	5.02	4.69
EDEN_11	Major	Ridge or sawgrass and emergent marsh	11.04	11.18	10.98
EDEN_12	Major	Slough or open water	5.59	5.77	5.44
EDEN_12	Secondary	Ridge or sawgrass and emergent marsh	5.66	5.71	5.64
EDEN_13	Major	Ridge or sawgrass and emergent marsh	7.26	7.55	6.87
EDEN_13	Secondary	Slough or open water	6.41	6.47	6.31
EDEN_14	Major	Slough or open water	7.96	8.09	7.79
EDEN_14	Secondary	Ridge or sawgrass and emergent marsh	8.48	8.58	8.41
EDEN_3	Major	Ridge or sawgrass and emergent marsh	-0.18	-0.12	-0.25
EDEN_3	Secondary	Exotics and cattail	-0.40	-0.28	-0.57
EDEN_4	Major	Slough or open water	5.77	5.94	5.45
