"Dbkey","Station","Site","Group Name","Data Type","Frequency","Statistic Type","Recorder","Agency","Start Date","End Date","Strata","County","Op Num","Latitude","Longitude","X COORD","Y COORD","Basin","Structure Type","Section","Township","Range"
"63599","ENPCN","ENPCN","ENPCN","STG","DA","MEAN","????","ENP","04-AUG-1993","02-FEB-2019","0","MON","","252519.672","805631.189","675311.356","395674.142","ENP","","","",""
"63681","ENPSR","ENPSR","ENPSR","GAGHT","DA","MEAN","????","ENP","02-MAY-1996","02-FEB-2019","0","MON","","252114.832","810600.108","623135.455","370965.378","CAPE SAB","","","",""
"37824","ENPTR","ENPTR","ENPTR","STG","DA","MEAN","CR10","ENP","04-JUN-2013","02-FEB-2019","0","DAD","","251301.632","803858.452","772019.632","321315.333","TAYSLOU","","8","60","37"
"01218","NESRS2","NESRS2","NESRS2","GAGHT","DA","MEAN","????","USGS","26-JUL-1976","23-JAN-2019","0","DAD","","254326.368","803324.206","802100.227","505620.512","ENP","","20","54","38"
"87969","NESRS2","NESRS2","NESRS2","STG","DA","MEAN","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","254326.368","803324.206","802100.227","505620.512","ENP","","20","54","38"
"P0822","NESRS2","NESRS2","NESRS2","STG","DA","MEAN","MOD1","WMD","01-JAN-1978","31-DEC-2014","0","DAD","","254326.368","803324.206","802100.227","505620.512","ENP","","20","54","38"
"H2428","NP-146","NP-146","NP-146","STG","DA","MEAN","????","ENP","24-MAR-1994","02-FEB-2019","0","DAD","","251509.072","803958.536","766469.952","334166.443","TAYSLOU","","31","59","37"
"P0826","NP-201","NP-201","NP-201","STG","DA","MEAN","MOD1","WMD","01-JAN-1978","31-DEC-2012","0","DAD","","254304.516","804310.711","748470.84","503268.36","ENP","","34","54","36"
"06719","NP-201","NP-201","NP-201","STG","DA","MEAN","????","ENP","09-JUN-1974","02-FEB-2019","0","DAD","","254304.516","804310.711","748470.84","503268.36","ENP","","34","54","36"
"00790","NP-202","NP-202","NP-202","GAGHT","DA","MEAN","????","USGS","01-JAN-1975","23-SEP-1987","0","DAD","","253947.124","804231.824","752071.125","483348.073","ENP","","4","56","36"
"P0827","NP-202","NP-202","NP-202","STG","DA","MEAN","MOD1","WMD","01-JAN-1978","31-DEC-2012","0","DAD","","253947.124","804231.824","752071.125","483348.073","ENP","","4","56","36"
"06720","NP-202","NP-202","NP-202","STG","DA","MEAN","????","ENP","01-JAN-1975","02-FEB-2019","0","DAD","","253947.124","804231.824","752071.125","483348.073","ENP","","4","56","36"
"P0835","NP-P36","NP-36","NP-36","STG","DA","MEAN","MOD1","WMD","01-JAN-1978","31-DEC-2012","0","DAD","","253142.528","804743.656","723615.331","434372.294","ENP","","2","57","35"
"06718","NP-P36","NP-36","NP-36","STG","DA","MEAN","????","ENP","01-FEB-1968","31-JAN-2019","0","DAD","","253142.528","804743.656","723615.331","434372.294","ENP","","2","57","35"
"P0903","NP-TSB","NP-TSB","NP-TSB","STG","DA","MEAN","MOD1","WMD","01-JAN-1978","31-DEC-2012","0","DAD","","252410.512","803626.352","785789.702","388878.735","TAYSLOU","","10","58","37"
"H2442","NP-TSB","NP-TSB","NP-TSB","STG","DA","MEAN","????","ENP","16-AUG-1960","02-FEB-2019","0","DAD","","252410.512","803626.352","785789.702","388878.735","TAYSLOU","","10","58","37"
"07090","NP-TSH","NP-TSH","NP-TSH","STG","DA","MEAN","????","ENP","12-MAR-1994","02-FEB-2019","0","DAD","","251838.628","803751.6","778065.39","355351.922","TAYSLOU","","9","59","37"
