"Dbkey","Station","Site","Group Name","Data Type","Frequency","Statistic Type","Recorder","Agency","Start Date","End Date","Strata","County","Op Num","Latitude","Longitude","X COORD","Y COORD","Basin","Structure Type","Section","Township","Range"
"VM951","BCA19","BCA19","BCA19","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-JAN-2019","0","COL","","254734","811209","589539.157","530426.783","COLL.E","","","",""
"PT548","BCA19","BCA19","BCA19","RAIN","DA","SUM","CR10","WMD","13-JUN-2002","17-FEB-2019","0","COL","","254734","811209","589539.157","530426.783","COLL.E","","","",""
"63574","ENPBA","ENPBA","ENPBA","RAIN","DA","SUM","????","ENP","05-SEP-1996","17-FEB-2019","0","MON","","250135.868","804052.932","761669.968","252062.008","KEYS","","","",""
"63577","ENPBD","ENPBD","ENPBD","RAIN","DA","SUM","????","ENP","01-MAY-2006","10-SEP-2017","0","MON","","252904.092","810800.312","612156.542","418347.832","LOSTMANS","","","",""
"63580","ENPBK","ENPBK","ENPBK","RAIN","DA","SUM","????","ENP","17-JUL-1997","17-FEB-2019","0","MON","","250715.996","805000.816","711235.739","286306.87","KEYS","","17","61","35"
"63583","ENPBN","ENPBN","ENPBN","RAIN","DA","SUM","????","ENP","30-JUL-1993","17-FEB-2019","0","MON","","250512.048","803108.544","815342.356","274043.909","KEYS","","","",""
"63587","ENPBR","ENPBR","ENPBR","RAIN","DA","SUM","????","ENP","04-AUG-1993","17-FEB-2019","0","MON","","252841.988","805921.3","659714.274","416094.464","LOSTMANS","","","",""
"63591","ENPBS","ENPBS","ENPBS","RAIN","DA","SUM","????","ENP","31-JUL-1996","17-FEB-2019","0","MON","","251042.024","802618.168","841898.723","307458.375","KEYS","","","",""
"63595","ENPCA","ENPCA","ENPCA","RAIN","DA","SUM","????","ENP","10-MAY-2000","17-FEB-2019","0","MON","","254206.66","811108.16","595054.374","497372.419","CHATAM","","","",""
"63600","ENPCN","ENPCN","ENPCN","RAIN","DA","SUM","????","ENP","14-FEB-1996","17-FEB-2019","0","MON","","252519.672","805631.189","675311.356","395674.142","ENP","","","",""
"63607","ENPCW","ENPCW","ENPCW","RAIN","DA","SUM","????","ENP","10-MAY-1996","17-FEB-2019","0","MON","","251748.084","810047.52","651806.938","350081.88","CAPE SAB","","","",""
"63616","ENPDK","ENPDK","ENPDK","RAIN","DA","SUM","????","ENP","03-MAR-1995","17-FEB-2019","0","MON","","251048.324","802924.036","824821.693","308026.435","KEYS","","","",""
"63620","ENPGB","ENPGB","ENPGB","RAIN","DA","SUM","????","ENP","06-MAR-1996","17-FEB-2019","0","MON","","251002.028","804804.68","721884.498","303082.017","KEYS","","","",""
"63624","ENPGI","ENPGI","ENPGI","RAIN","DA","SUM","????","ENP","22-MAR-1996","17-FEB-2019","0","MON","","252241.016","810146.308","646418.324","379654.495","CAPE SAB","","","",""
"63629","ENPHC","ENPHC","ENPHC","RAIN","DA","SUM","????","ENP","15-MAR-1995","17-FEB-2019","0","DAD","","251514.976","802639.372","839836.961","335005.427","C111_CO","","33","59","39"
"63633","ENPHR","ENPHR","ENPHR","RAIN","DA","SUM","????","ENP","13-MAR-1996","17-FEB-2019","0","MON","","252528.416","810336.432","636326.303","396557.217","CAPE SAB","","","",""
"63637","ENPJK","ENPJK","ENPJK","RAIN","DA","SUM","????","ENP","09-AUG-1993","17-FEB-2019","0","MON","","250309.144","805416.128","687788.989","261364.985","KEYS","","","",""
"63641","ENPLB","ENPLB","ENPLB","RAIN","DA","SUM","????","ENP","31-JUL-1996","17-FEB-2019","0","MON","","251251.624","802555.956","843884.02","320550.332","KEYS","","","",""
"63645","ENPLM","ENPLM","ENPLM","RAIN","DA","SUM","????","ENP","07-AUG-1993","17-FEB-2019","0","MON","","251032.88","803757.684","777641.167","306313.663","KEYS","","","",""
"63649","ENPLN","ENPLN","ENPLN","RAIN","DA","SUM","????","ENP","18-APR-1996","17-FEB-2019","0","MON","","251703.768","805337.824","691244.874","345621.832","CAPE SAB","","","",""
"63653","ENPLO","ENPLO","ENPLO","RAIN","DA","SUM","????","ENP","01-JAN-1998","17-FEB-2019","0","MON","","253320.988","811008.04","600485.625","444295.72","LOSTMANS","","","",""
"63662","ENPLR","ENPLR","ENPLR","RAIN","DA","SUM","????","ENP","14-AUG-1996","17-FEB-2019","0","MON","","245853.688","804932.52","713901.593","235603.511","KEYS","","","",""
"63666","ENPLS","ENPLS","ENPLS","RAIN","DA","SUM","????","ENP","29-JUL-1993","17-FEB-2019","0","MON","","251406.576","802724.48","835723.631","328083.329","KEYS","","5","60","39"
"63670","ENPMK","ENPMK","ENPMK","RAIN","DA","SUM","????","ENP","16-JUL-1997","16-MAY-2018","0","MON","","250622.068","805632.352","675254.094","280833.075","KEYS","","","",""
"63674","ENPNR","ENPNR","ENPNR","RAIN","DA","SUM","????","ENP","04-AUG-1993","17-FEB-2019","0","MON","","252024.828","805440.068","685518.529","365914.816","CAPE SAB","","","",""
"63678","ENPPK","ENPPK","ENPPK","RAIN","DA","SUM","????","ENP","09-AUG-1993","17-FEB-2019","0","MON","","245505.016","804448.48","740078.865","212561.101","KEYS","","","",""
"63682","ENPSR","ENPSR","ENPSR","RAIN","DA","SUM","????","ENP","02-MAY-1996","17-FEB-2019","0","MON","","252114.832","810600.108","623135.455","370965.378","CAPE SAB","","","",""
"63686","ENPTB","ENPTB","ENPTB","RAIN","DA","SUM","????","ENP","09-AUG-1993","17-FEB-2019","0","MON","","250926.424","804329.244","747196.279","299532.324","TAYSLOUC","","","",""
"63690","ENPTC","ENPTC","ENPTC","RAIN","DA","SUM","????","ENP","29-JUL-1993","17-FEB-2019","0","MON","","251245.9","803200.204","810434.559","319843.846","KEYS","","16","60","38"
"63694","ENPTE","ENPTE","ENPTE","RAIN","DA","SUM","????","ENP","03-APR-1996","17-FEB-2019","0","MON","","252436.432","805750.22","668067.14","391306.465","CAPE SAB","","","",""
"63698","ENPWB","ENPWB","ENPWB","RAIN","DA","SUM","????","ENP","09-AUG-1993","17-FEB-2019","0","MON","","250419.524","804406.396","743843.619","268544.369","KEYS","","","",""
"63702","ENPWE","ENPWE","ENPWE","RAIN","DA","SUM","????","ENP","27-AUG-1995","17-FEB-2019","0","MON","","251353.976","805617.628","676586.545","326453.175","CAPE SAB","","","",""
"63707","ENPWP","ENPWP","ENPWP","RAIN","DA","SUM","????","ENP","01-JAN-2000","17-FEB-2019","0","MON","","254234.801","811456.645","574161.177","500247.839","CHATAM","","","",""
"63711","ENPWW","ENPWW","ENPWW","RAIN","DA","SUM","????","ENP","27-JUN-1997","17-FEB-2019","0","MON","","253514.964","810237.104","641784.693","455769.029","LOSTMANS","","","",""
"63729","EVER7","NP-EV7","NP-EV7","RAIN","DA","SUM","????","ENP","24-JUN-2009","17-FEB-2019","0","DAD","","251834.632","803234.692","807147.417","355038.138","C111_CO","","8","59","38"
"88093","JBTS","JBTS","JBTS","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","251328.437","803224.22","808212.702","324129.731","C111_CO","","8","60","38"
"15083","JBTS","JBTS","JBTS","RAIN","DA","SUM","CR10","WMD","23-MAY-1991","01-MAR-2016","0","DAD","","251328.437","803224.22","808212.702","324129.731","C111_CO","","8","60","38"
"VN090","JBTS","JBTS","JBTS","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-APR-2016","0","DAD","","251328.437","803224.22","808212.702","324129.731","C111_CO","","8","60","38"
"AN689","JBTS","JBTS","JBTS","RAIN","DA","SUM","CR10","ENP","08-AUG-2017","17-FEB-2019","0","DAD","","251328.437","803224.22","808212.702","324129.731","C111_CO","","8","60","38"
"88094","MBTS","MBTS","MBTS","RAIN","DA","SUM","SMWC","WMD","01-JAN-2000","31-DEC-2009","0","DAD","","251421.9","802518.1","847321.417","329678.751","KEYS","","34","59","39"
"DO555","MBTS","MBTS","MBTS","RAIN","DA","SUM","CR10","WMD","31-MAY-1996","02-DEC-2016","0","DAD","","251421.9","802518.1","847321.417","329678.751","KEYS","","34","59","39"
"VN126","MBTS","MBTS","MBTS","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","01-APR-2017","0","DAD","","251421.9","802518.1","847321.417","329678.751","KEYS","","34","59","39"
"AN677","MBTS","MBTS","MBTS","RAIN","DA","SUM","CR10","ENP","01-AUG-2016","30-AUG-2017","0","DAD","","251421.9","802518.1","847321.417","329678.751","KEYS","","34","59","39"
"15662","MDTS","MDTS","MDTS","RAIN","DA","SUM","CR10","WMD","11-OCT-1991","08-JAN-2016","0","DAD","","251643.425","802342.205","856060.291","344004.293","KEYS","","23","59","39"
"VN130","MDTS","MDTS","MDTS","RAIN","DA","SUM","NRG","WMD","01-OCT-2007","03-FEB-2016","0","DAD","","251643.425","802342.205","856060.291","344004.293","KEYS","","23","59","39"
"AN681","MDTS","MDTS","MDTS","RAIN","DA","SUM","CR10","ENP","02-DEC-2016","17-FEB-2019","0","DAD","","251643.425","802342.205","856060.291","344004.293","KEYS","","23","59","39"
"00785","NP-201","NP-201","NP-201","RAIN","DA","SUM","????","USGS","01-OCT-1974","13-SEP-1979","0","DAD","","254304.516","804310.711","748470.84","503268.36","ENP","","34","54","36"
"37796","NP-201","NP-201","NP-201","RAIN","DA","SUM","????","ENP","02-OCT-1983","31-JUL-1986","0","DAD","","254304.516","804310.711","748470.84","503268.36","ENP","","34","54","36"
"06044","NP-201","NP-201","NP-201","RAIN","DA","SUM","????","ENP","01-OCT-1983","17-FEB-2019","0","DAD","","254304.516","804310.711","748470.84","503268.36","ENP","","34","54","36"
"G6149","NP-202","NP-202","NP-202","RAIN","DA","SUM","????","ENP","04-FEB-1993","17-FEB-2019","0","DAD","","253947.124","804231.824","752071.125","483348.073","ENP","","4","56","36"
"06040","NP-203","NP-203","NP-203","RAIN","DA","SUM","????","ENP","13-FEB-1982","17-FEB-2019","0","DAD","","253726.22","804420.58","742148.458","469102.235","ENP","","25","55","36"
"00773","NP-203","NP-203","NP-203","RAIN","DA","SUM","????","USGS","","","0","DAD","","253726.22","804420.58","742148.458","469102.235","ENP","","25","55","36"
"G6147","NP-205","NP-205","NP-205","RAIN","DA","SUM","????","ENP","08-JUN-1993","17-FEB-2019","0","DAD","","254122.16","805153.51","700669.613","492859.706","ENP","","5","55","35"
"00743","NP-206","NP-206","NP-206","RAIN","DA","SUM","????","USGS","01-OCT-1974","08-OCT-1979","0","DAD","","253242.943","804019.931","764244.685","440552.864","ENP","","8","57","37"
"G6155","NP-206","NP-206","NP-206","RAIN","DA","SUM","????","ENP","26-NOV-1984","31-DEC-1999","0","DAD","","253242.943","804019.931","764244.685","440552.864","ENP","","8","57","37"
"06041","NP-206","NP-206","NP-206","RAIN","DA","SUM","????","ENP","27-OCT-1984","17-FEB-2019","0","DAD","","253242.943","804019.931","764244.685","440552.864","ENP","","8","57","37"
"H1975","NP-A13","NP-A13","NP-A13","RAIN","DA","SUM","????","ENP","25-SEP-1996","17-FEB-2019","0","DAD","","252943.8","804234.2","751987.067","422438.984","ENP","","23","57","36"
"H6053","NP-CHP","NP-CHP","NP-CHP","RAIN","DA","SUM","????","ENP","21-MAY-1994","17-FEB-2019","0","DAD","","251345.66","804213.968","754054.923","325716.807","TAYSLOU","","","",""
"H2438","NP-CR2","NP-CR2","NP-CR2","RAIN","DA","SUM","????","ENP","07-JUN-1996","17-FEB-2019","0","DAD","","252954.204","803719.812","780789.418","423561.63","TAYSLOU","","3","57","37"
"63713","NP-CY3","NP-CY3","NP-CY3","RAIN","DA","SUM","????","ENP","01-JAN-1999","17-FEB-2019","0","DAD","","251939.684","804503.492","738422.211","361424.219","TAYSLOU","","18","59","36"
"07095","NP-EPR","NP-EPS","NP-EPS","RAIN","DA","SUM","????","ENP","05-JUN-1986","17-FEB-2019","0","DAD","","251650.12","803029.38","818685.375","344528.076","C111_CO","","23","59","38"
"H2005","NP-FMB","NP-FMB","NP-FMB","RAIN","DA","SUM","????","ENP","06-JAN-1941","17-FEB-2019","0","DAD","","254538.7","804927.3","714009.702","518774.83","ENP","","21","54","35"
"H1974","NP-N10","NP-N10","NP-N10","RAIN","DA","SUM","????","ENP","15-SEP-1994","17-FEB-2019","0","DAD","","252743.236","803619.764","786330.28","410355.798","TAYSLOU","","14","57","37"
"63718","NP-NESS20","NP-NESS2","NP-NESS2","RAIN","DA","SUM","????","ENP","26-OCT-1999","17-FEB-2019","0","DAD","","254354.3","802954.78","821243.245","508510.037","ENP","","23","54","38"
"H6055","NP-OT3","NP-OT3","NP-OT3","RAIN","DA","SUM","????","ENP","19-MAR-1993","17-FEB-2019","0","MON","","253445.948","805752.956","667799.971","452838.92","ENP","","","",""
"G6152","NP-P33","NP-33","NP-33","RAIN","DA","SUM","????","ENP","06-NOV-1993","17-FEB-2019","0","DAD","","253653.568","804209.432","754159.249","465831.124","ENP","","11","56","36"
"H1998","NP-P34","NP-34","NP-34","RAIN","DA","SUM","????","ENP","14-DEC-1983","17-FEB-2019","0","MON","","253631.212","805627.636","675607.04","463468.567","ENP","","9","56","34"
"06037","NP-P35","NP-35","NP-35","RAIN","DA","SUM","????","ENP","01-OCT-1983","11-DEC-1990","0","DAD","","252739.384","805153.46","700758.769","409796.885","ENP","","31","57","35"
"H1999","NP-P35","NP-35","NP-35","RAIN","DA","SUM","????","ENP","11-FEB-1982","17-FEB-2019","0","DAD","","252739.384","805153.46","700758.769","409796.885","ENP","","31","57","35"
"37794","NP-P36","NP-36","NP-36","RAIN","DA","SUM","????","ENP","15-OCT-1983","31-JUL-1986","0","DAD","","253142.528","804743.656","723615.331","434372.294","ENP","","2","57","35"
"06038","NP-P36","NP-36","NP-36","RAIN","DA","SUM","????","ENP","02-OCT-1983","17-FEB-2019","0","DAD","","253142.528","804743.656","723615.331","434372.294","ENP","","2","57","35"
"H2001","NP-P37","NP-P37","NP-P37","RAIN","DA","SUM","????","ENP","04-FEB-1982","17-FEB-2019","0","DAD","","251709.6","804119.356","759021.899","346316.039","TAYSLOU","","35","59","36"
"37795","NP-P38","NP-P38","NP-P38","RAIN","DA","SUM","????","ENP","16-OCT-1983","28-AUG-1986","0","DAD","","252214.48","805001.054","711101.571","377008.785","ENP","","32","58","35"
"06039","NP-P38","NP-P38","NP-P38","RAIN","DA","SUM","????","ENP","01-OCT-1983","17-FEB-2019","0","DAD","","252214.48","805001.054","711101.571","377008.785","ENP","","32","58","35"
"63722","NP-P44","NP-44","NP-44","RAIN","DA","SUM","????","ENP","09-APR-2009","17-FEB-2019","0","DAD","","252554.412","804317.228","748091.574","399272.283","ENP","","10","58","36"
"H1994","NP-R3110","R3110","R3110","RAIN","DA","SUM","????","ENP","28-SEP-1985","17-FEB-2019","0","DAD","","252650.496","803735.58","779396.719","405011.471","TAYSLOU","","29","57","37"
"H6056","NP-RG1","NP-RG1","NP-RG1","RAIN","DA","SUM","????","ENP","14-SEP-1996","17-FEB-2019","0","DAD","","253459.124","803628.44","785405.375","454358.505","ENP","","3","56","37"
"SA604","NP-RG2","NP-RG2","NP-RG2","RAIN","DA","SUM","????","ENP","12-DEC-2002","17-FEB-2019","0","DAD","","253236.312","803624.084","785846.906","439942.025","ENP","","22","56","37"
"H2003","NP-ROB","NP-ROB","NP-ROB","RAIN","DA","SUM","????","ENP","10-DEC-1994","17-FEB-2019","0","DAD","","252620.8","803211.796","809085.357","402106.615","C111_AG","","28","57","38"
"H2004","NP-RPL","ROYAL PA","ROYAL PA","RAIN","DA","SUM","????","ENP","01-MAY-1949","17-FEB-2019","0","DAD","","252312.228","803536.78","790353.059","383008.37","TAYSLOU","","14","58","37"
"SA605","NP-TSB","NP-TSB","NP-TSB","RAIN","DA","SUM","????","ENP","19-MAY-1999","17-FEB-2019","0","DAD","","252410.512","803626.352","785789.702","388878.735","TAYSLOU","","10","58","37"
