Collection Date,MON,YEAR,WY MON,WY,WY2,Station Num,Station ID,Station ID 2,Region,ZSI,"Season 1=wet, 2=dry",TEMP_S oC,SP COND uS/cm,SALT_S ppt,"PH, FIELD",DO_S mg/l,%SAT_S,TURB NTU,CNOx-N um/l,CNO2-N um/l,CNH4-N um/l,TN um/l,TN mg/l,DIN um/l,TON um/l,CTP-P um/l,CPO4-P um/l,TOC um/l,CHL-A ug/l,CHL-A ug/l (LC),PHAEO-A ug/l (LC),APA,CHL-B ug/l (LC),SiO2,SALT_B ppt,TEMP_B oC,DO_B mg/l,%SAT_B,SECCHI DISK DEPTH
5/1/1991,5,1991,1,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,1,28.4,,41,,5.5,85.93773212,0.19,0.19,0.16,1.3,48.31,0.6768231,1.48,46.83,0.32,0.05,344.2,1.28,,,0.09,,,41,28.5,5.5,86.01,
6/11/1991,6,1991,2,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,1,28.1,,36.2,,5.5,83.16977475,0.19,0.62,0.25,1.31,23.55,0.3299355,1.93,21.62,0.07,0.01,385.8,1.07,,,0.13,,,36.2,28.1,5.4,81.66,
7/9/1991,7,1991,3,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,1,31.7,,36.9,,4.9,76.34532801,0.23,0.87,0.37,2.32,39.38,0.5517138,3.19,36.19,0.57,0.02,557.2,0.11,,,0.12,,,37.4,32,5.3,82.97,
7/30/1991,7,1991,3,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,1,30.6,,38.2,,4.6,71.76116506,0.28,0.77,0.34,1.4,131.45,1.8416145,2.17,129.28,0.49,0.07,689.7,1.11,,,0.21,,,38.2,30.6,5,78,
9/11/1991,9,1991,5,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,1,28.9,,38.4,,5.2,80.24524569,0.15,0.93,0.34,1.12,82.33,1.1534433,2.05,80.28,0.4,0.03,614.3,0.59,,,0.39,,,38.3,29,5.2,80.26,
10/9/1991,10,1991,6,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,1,27.8,,37.8,,4.2,63.99479819,0.21,2.39,0.35,3.59,45.22,0.6335322,5.98,39.24,0.53,0.02,647.5,1.17,,,0.29,,,37.8,27.8,4.1,62.47,
11/13/1991,11,1991,7,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,2,20.6,,29.2,,7.3,96.94108364,0.33,6.06,0.45,4.03,39.3,0.550593,10.09,29.21,0.31,0.08,526.3,0.96,,,0.23,,,29.2,20.6,7.4,98.27,
12/4/1991,12,1991,8,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,2,24.9,,29,,6,84.01494438,0.51,4.64,0.54,5.17,48.32,0.6769632,9.8,38.52,0.25,0.02,482.8,1.05,,,0.22,,,29,24.9,5.9,82.61,
1/15/1992,1,1992,9,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,2,21.4,,30,,6.7,90.44966637,0.34,0.98,0.3,1.92,61.18,0.8571318,2.9,58.28,0.28,0.07,383.5,0.83,,,0.15,,,30,21,6.7,89.95,
2/11/1992,2,1992,10,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,2,19.9,,30.8,,6.9,91.67219853,1.3,2.09,0.26,1.6,29.41,0.4120341,3.68,25.73,0.32,0.01,452.8,1.04,,,0.13,,,30.8,19.9,7,93,
3/10/1992,3,1992,11,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,2,22.2,,33.1,,7.3,101.6520795,0.66,2.18,0.25,1.27,33.93,0.4753593,3.44,30.48,0.29,0.03,430.8,0.08,,,0.31,,,33.4,22.3,7.2,100.59,
4/22/1992,4,1992,12,1992,1992,1,FLAB01,FLAB01,FLAB,FBE,2,25.6,,33.8,,5.8,84.38693466,0.97,0.29,0.11,1.39,30.16,0.4225416,1.68,28.48,0.26,0.02,572.5,0.95,,,0.33,,,33.8,25.6,5.8,84.39,
5/13/1992,5,1992,1,1993,1993,1,FLAB01,FLAB01,FLAB,FBE,1,25.4,,36.9,,5.9,87.38787802,0.57,1.4,0.18,1.73,41.36,0.5794536,3.13,38.23,0.29,0.16,454,0.94,,,0.15,,,36.9,25.4,5.9,87.39,
6/17/1992,6,1992,2,1993,1993,1,FLAB01,FLAB01,FLAB,FBE,1,29,,34.8,,4.7,70.9625493,0.47,0.29,0.15,2.36,39.05,0.5470905,2.65,36.39,0.34,0.05,512.5,0.94,,,0.24,,,34.8,29,4.7,70.96,
7/15/1992,7,1992,3,1993,1993,1,FLAB01,FLAB01,FLAB,FBE,1,29.9,,23.9,,5.9,83.78242901,0.46,0.56,0.17,7.4,40.18,0.5629218,7.96,32.22,0.34,0.14,577.1,0.94,,,0.3,,,23.9,29.9,5.9,83.78,
8/12/1992,8,1992,4,1993,1993,1,FLAB01,FLAB01,FLAB,FBE,1,29.3,,26.7,,4.7,67.60617828,0.59,0.27,0.06,6.26,37.87,0.5305587,6.53,31.34,0.28,0.1,1920,1.01,,,0.37,,,26.7,29.3,4.6,66.17,
9/8/1992,9,1992,5,1993,1993,1,FLAB01,FLAB01,FLAB,FBE,1,29.3,,27.1,,6.2,89.40640051,2.62,0.08,0.03,0.74,63.42,0.8885142,0.82,62.6,0.55,0.1,675,2.43,,,2.75,,,27,29.3,6.3,90.79,
10/13/1992,10,1992,6,1993,1993,1,FLAB01,FLAB01,FLAB,FBE,1,27.8,,26.8,,5.2,73.90519118,0.53,0.94,0.24,5.03,55.35,0.7754535,5.97,49.38,0.24,0.08,699,0.78,,,0.33,,,26.8,27.8,9.4,133.6,
