SITENAME,DATE,TIME,SALINITY,TN,TP,TOC,NH4,NandN,NO2,SRP,DOC,NO3
SRS1a,2001-06-12,13:00,0.0,37.775,0.66,1437.500,2.05,0.43,0.12,0.04,1305.833,0.31
SRS1a,2001-07-31,11:00,0.0,58.256,0.44,1377.500,6.40,3.59,0.39,0.01,1369.167,3.20
SRS1a,2001-09-13,12:00,0.0,47.755,0.27,1397.500,8.10,2.58,0.20,0.02,1490.000,2.38
SRS1a,2001-10-22,12:00,0.0,47.638,0.11,1265.833,3.00,1.99,0.12,0.02,1286.667,1.86
SRS1a,2001-11-28,14:00,0.0,39.364,-9999.00,1159.167,2.10,0.38,0.09,0.00,1161.667,0.29
SRS1a,2001-12-19,11:00,0.0,40.234,0.09,1130.833,2.55,0.26,0.06,0.00,1130.833,0.20
SRS1a,2002-01-22,13:00,0.0,36.937,0.24,1145.833,6.69,1.52,0.11,0.10,1146.667,1.41
SRS1a,2002-02-28,09:00,0.0,24.419,0.57,1167.500,2.70,0.05,0.04,0.03,1227.500,0.01
SRS1a,2002-03-28,11:00,0.0,21.814,0.77,1263.333,5.47,0.23,0.09,0.08,1273.333,0.14
SRS1a,2002-04-09,09:30,0.0,43.938,0.43,1248.333,8.23,0.43,0.10,0.01,1266.667,0.33
SRS1a,2002-05-08,11:00,0.0,71.968,0.90,1317.500,5.31,0.12,0.08,0.05,1340.833,0.04
SRS1a,2002-06-25,10:00,0.0,36.942,0.20,1082.500,-9999.00,6.75,0.49,0.00,1033.333,6.27
SRS1a,2002-07-29,11:00,0.0,75.072,0.11,1755.417,1.39,2.98,0.12,0.06,1752.917,2.87
SRS1a,2002-08-22,08:45,0.0,34.863,0.06,1211.667,2.19,0.36,0.08,0.03,1020.833,0.28
SRS1a,2002-09-25,15:45,0.0,57.526,-9999.00,1406.667,1.41,0.72,0.13,0.01,1491.667,0.59
SRS1a,2002-10-23,12:00,0.0,35.774,-9999.00,1634.167,2.41,0.39,0.13,-9999.00,1625.833,0.26
SRS1a,2002-11-20,13:15,0.0,58.464,0.12,1218.333,-9999.00,1.53,0.15,0.05,1318.333,1.38
SRS1a,2002-12-19,12:00,0.0,66.196,0.81,1427.500,4.80,3.76,0.29,0.03,1370.000,3.48
SRS1a,2003-01-21,09:10,0.0,58.915,0.63,1330.833,-9999.00,2.10,0.20,0.13,1000.833,1.90
SRS1a,2003-02-20,13:15,0.0,67.587,0.80,935.000,-9999.00,1.13,0.21,-9999.00,1125.000,0.92
SRS1a,2003-03-26,10:30,0.0,-9999.000,0.40,1096.667,1.25,0.26,0.04,0.05,940.833,0.23
SRS1a,2003-04-24,14:30,0.0,69.998,1.15,1060.000,0.54,0.13,0.04,0.02,1024.167,0.09
SRS1a,2003-05-27,11:00,0.0,-9999.000,0.33,988.333,0.52,0.18,0.06,0.02,993.333,0.13
SRS1a,2003-06-17,11:00,0.0,31.580,0.34,1098.333,0.56,0.34,0.13,0.01,1088.333,0.21
SRS1a,2003-07-23,14:00,0.0,69.278,0.20,1484.167,2.03,1.61,0.14,0.03,1516.667,1.47
SRS1a,2003-08-18,13:45,0.0,101.131,0.19,1841.667,2.45,-9999.00,0.45,0.02,1821.667,-9999.00
SRS1a,2003-09-09,12:30,0.0,36.182,0.14,1288.333,2.00,3.07,0.15,0.03,1406.667,2.92
SRS1a,2003-10-08,11:30,0.0,36.501,0.10,1126.667,1.70,3.94,0.22,0.02,1178.333,3.72
SRS1a,2003-11-11,11:45,0.0,28.498,0.13,957.500,1.50,0.99,0.14,0.01,1110.000,0.84
SRS1a,2003-12-03,09:30,0.0,48.870,0.05,831.458,5.84,0.57,0.07,0.02,990.833,0.51
SRS1a,2004-01-26,13:20,0.0,26.231,0.23,905.000,2.23,0.10,0.10,0.01,990.417,-9999.00
SRS1a,2004-02-10,11:20,0.0,29.124,0.34,894.167,4.48,1.31,0.28,0.04,909.583,1.04
SRS1a,2004-03-23,16:15,0.0,34.788,0.32,912.500,8.15,3.90,0.36,0.05,696.250,3.53
SRS1a,2004-04-19,11:30,0.0,-9999.000,0.88,1060.000,1.47,3.99,0.26,0.01,-9999.000,3.73
SRS1a,2004-05-05,15:45,0.0,-9999.000,-9999.00,1019.167,0.53,1.05,0.20,0.01,1120.000,0.85
SRS1a,2004-06-24,15:00,0.0,30.155,0.91,1135.833,0.45,1.28,0.13,0.03,1190.000,1.15
SRS1a,2004-07-15,10:45,0.0,36.421,0.45,983.333,0.79,-9999.00,-9999.00,0.03,-9999.000,0.50
SRS1a,2004-08-19,12:30,0.0,53.384,0.42,1973.333,2.60,4.25,0.51,0.08,1903.333,3.75
SRS1a,2004-09-08,16:30,0.0,30.946,0.19,1395.000,3.69,6.01,0.25,0.04,1440.000,5.76
SRS1a,2004-10-14,12:00,0.0,32.049,0.11,1462.500,2.02,1.94,0.12,0.03,1562.500,1.83
SRS1a,2004-11-22,09:30,0.0,33.871,0.11,1310.833,1.82,0.42,0.17,0.01,1385.833,0.25
SRS1a,2004-12-07,16:30,0.0,28.399,-9999.00,1169.167,1.65,1.06,0.15,-9999.00,1364.167,0.91
SRS1a,2005-01-04,08:15,0.0,47.763,0.22,1613.333,7.63,4.77,0.64,0.07,-9999.000,4.13
SRS1c,2005-01-04,15:00,0.0,55.385,0.08,1932.500,5.85,0.41,0.28,0.05,2096.667,0.13
SRS1c,2005-02-16,14:15,0.0,56.593,0.19,2014.167,5.37,0.91,0.61,0.01,2085.000,0.30
SRS1c,2005-05-23,14:30,0.0,44.717,-9999.00,-9999.000,2.35,0.21,0.10,0.08,2026.250,0.12
SRS1c,2005-06-30,11:30,0.0,39.177,0.23,1290.000,7.21,0.20,0.13,0.11,-9999.000,0.07
SRS1c,2005-07-18,14:15,0.0,34.937,0.25,1243.333,17.19,0.00,0.00,0.08,994.167,0.00
SRS1c,2005-08-23,11:00,0.0,45.268,0.13,-9999.000,2.66,0.16,0.17,0.04,1220.833,0.00
