SITENAME,DATE,SALINITY,TN,TP
TS/PH6a,1998-05-28,16.0,55.326,0.64
TS/PH6a,1998-05-29,17.0,51.132,0.37
TS/PH6a,1998-05-30,17.0,53.037,0.51
TS/PH6a,1998-05-31,16.0,56.605,0.44
TS/PH6a,1998-06-01,17.0,54.044,0.43
TS/PH6a,1998-06-02,17.0,56.993,0.49
TS/PH6a,1998-06-03,17.0,51.830,0.42
TS/PH6a,1998-06-04,17.0,54.341,0.43
TS/PH6a,1998-06-05,17.0,55.553,0.40
TS/PH6a,1998-06-18,20.0,81.067,1.15
TS/PH6a,1998-06-19,20.0,84.809,0.94
TS/PH6a,1998-06-20,20.0,79.031,0.72
TS/PH6a,1998-06-21,20.0,82.420,0.58
TS/PH6a,1998-06-22,20.0,77.377,0.56
TS/PH6a,1998-06-23,20.0,71.878,0.79
TS/PH6a,1998-06-24,20.0,69.268,0.81
TS/PH6a,1998-06-25,21.0,71.471,0.70
TS/PH6a,1998-06-26,20.0,76.761,0.28
TS/PH6a,1998-06-27,19.0,63.518,0.30
TS/PH6a,1998-06-28,18.0,56.697,0.75
TS/PH6a,1998-06-29,19.0,65.398,0.77
TS/PH6a,1998-06-30,19.0,68.938,0.49
TS/PH6a,1998-07-01,18.0,70.526,0.64
TS/PH6a,1998-07-02,17.0,75.752,0.70
TS/PH6a,1998-07-03,16.0,81.094,0.60
TS/PH6a,1998-07-15,17.0,63.005,0.71
TS/PH6a,1998-07-16,16.0,71.195,0.15
TS/PH6a,1998-07-17,14.0,76.155,0.18
TS/PH6a,1998-07-18,10.0,82.382,0.34
TS/PH6a,1998-07-19,10.0,82.254,0.45
TS/PH6a,1998-07-20,13.0,83.673,0.60
TS/PH6a,1998-07-21,12.0,87.898,0.61
TS/PH6a,1998-07-22,8.0,81.904,0.40
TS/PH6a,1998-07-23,7.0,96.581,0.36
TS/PH6a,1998-07-24,5.0,92.723,0.38
TS/PH6a,1998-07-25,4.0,109.791,0.41
TS/PH6a,1998-07-26,3.0,96.693,0.31
TS/PH6a,1998-07-27,3.0,108.860,0.36
TS/PH6a,1998-07-28,2.0,93.134,0.42
TS/PH6a,1998-07-29,2.0,115.738,0.43
TS/PH6a,1998-07-30,2.0,103.673,0.41
TS/PH6a,1998-07-31,2.0,103.322,0.45
TS/PH6a,1998-08-01,2.0,93.954,0.38
TS/PH6a,1998-08-02,2.0,104.653,0.37
TS/PH6a,1998-08-03,2.0,95.098,0.37
TS/PH6a,1998-08-04,1.0,97.605,0.45
TS/PH6a,1998-08-05,1.0,96.069,0.44
TS/PH6a,1998-08-06,1.0,77.876,0.40
TS/PH6a,1998-08-07,1.0,73.822,0.52
TS/PH6a,1998-08-08,1.0,72.350,0.30
TS/PH6a,1998-08-09,0.0,77.722,0.28
TS/PH6a,1998-08-10,0.0,73.545,0.37
TS/PH6a,1998-08-11,0.0,73.858,0.34
TS/PH6a,1998-08-12,0.0,87.276,0.39
TS/PH6a,1998-08-13,0.0,81.848,0.36
TS/PH6a,1998-08-14,0.0,79.467,0.27
TS/PH6a,1998-08-15,0.0,73.403,0.40
TS/PH6a,1998-08-16,0.0,72.299,0.30
TS/PH6a,1998-08-17,0.0,68.623,0.33
TS/PH6a,1998-08-18,0.0,63.083,0.30
TS/PH6a,1998-08-19,0.0,66.312,0.35
TS/PH6a,1998-08-20,0.0,63.493,0.32
TS/PH6a,1998-08-21,0.0,67.124,0.33
TS/PH6a,1998-08-22,0.0,63.273,0.30
TS/PH6a,1998-08-23,0.0,58.571,0.26
TS/PH6a,1998-08-24,0.0,66.583,0.38
TS/PH6a,1998-08-25,0.0,64.464,0.45
TS/PH6a,1998-08-26,0.0,65.341,0.39
TS/PH6a,1998-08-27,0.0,58.077,0.29
TS/PH6a,1998-08-28,0.0,61.882,0.22
TS/PH6a,1998-08-29,0.0,114.320,0.40
TS/PH6a,1998-08-30,0.0,69.181,0.25
TS/PH6a,1998-08-31,0.0,62.812,0.21
TS/PH6a,1998-09-01,0.0,68.643,0.29
TS/PH6a,1998-09-02,0.0,75.839,0.74
TS/PH6a,1998-09-19,0.0,87.083,0.20
TS/PH6a,1998-09-20,0.0,49.607,1.15
TS/PH6a,1998-09-21,0.0,42.252,0.26
TS/PH6a,1998-09-22,0.0,48.292,0.35
TS/PH6a,1998-09-23,0.0,45.367,0.36
TS/PH6a,1998-09-24,0.0,48.139,0.22
TS/PH6a,1998-09-25,0.0,48.178,0.18
TS/PH6a,1998-09-26,0.0,47.818,0.27
TS/PH6a,1998-09-27,0.0,46.162,0.21
TS/PH6a,1998-09-28,0.0,42.313,0.19
TS/PH6a,1998-09-29,0.0,39.766,0.20
TS/PH6a,1998-09-30,0.0,50.094,0.36
TS/PH6a,1998-10-03,0.0,48.680,0.27
TS/PH6a,1998-10-06,0.0,54.750,0.26
TS/PH6a,1998-10-09,0.0,57.458,0.26
TS/PH6a,1998-10-12,0.0,60.288,0.33
TS/PH6a,1998-10-15,0.0,61.059,0.21
TS/PH6a,1998-10-18,0.0,84.458,1.16
TS/PH6a,1998-10-21,0.0,66.173,0.49
TS/PH6a,1998-10-24,0.0,62.467,0.33
TS/PH6a,1998-10-27,0.0,61.466,0.25
TS/PH6a,1998-10-30,0.0,60.626,0.28
TS/PH6a,1998-11-02,0.0,59.119,0.25
TS/PH6a,1998-11-05,1.0,61.542,0.36
TS/PH6a,1998-11-08,4.0,67.649,0.42
TS/PH6a,1998-11-11,0.0,59.393,0.24
TS/PH6a,1998-11-14,0.0,53.044,0.58
TS/PH6a,1998-11-17,0.0,61.226,0.35
TS/PH6a,1998-11-20,0.0,61.515,0.26
TS/PH6a,1998-11-23,0.0,81.310,0.28
TS/PH6a,1998-11-26,0.0,55.102,0.30
TS/PH6a,1998-11-29,0.0,54.610,0.27
TS/PH6a,1998-12-02,0.0,57.624,0.27
TS/PH6a,1998-12-05,0.0,57.250,0.35
TS/PH6a,1998-12-08,0.0,59.307,0.28
TS/PH6a,1998-12-11,0.0,63.158,0.15
TS/PH6a,1998-12-14,0.0,59.412,0.13
