SITENAME,DATE,TIME,SALINITY,TN,TP,TOC,NH4 ,N&N,NO2,SRP,DOC,NO3
TS/PH6a,2001-05-30,-9999,34,32.931,0.41,945.833,9.76,1.45,0.32,0.00,962.500,1.13
TS/PH6a,2001-06-27,-9999,26,35.065,0.46,1086.667,1.72,0.64,0.19,0.00,1085.833,0.45
TS/PH6a,2001-07-20,-9999,33,81.636,0.37,1250.000,6.33,0.65,0.20,0.01,1211.667,0.45
TS/PH6a,2001-08-23,-9999,1,57.025,0.35,1174.167,4.91,0.58,0.09,0.06,1192.500,0.49
TS/PH6a,2001-10-01,-9999,1,38.065,0.18,784.917,2.44,1.29,0.10,-9999.00,767.750,1.19
TS/PH6a,2001-11-12,-9999,1,42.129,0.12,818.833,2.43,0.40,0.06,0.00,775.417,0.34
TS/PH6a,2001-12-10,-9999,1,36.996,0.13,785.333,5.01,0.54,0.09,0.07,774.750,0.45
TS/PH6a,2002-01-08,-9999,1,47.601,-9999.00,-9999.000,6.28,0.74,0.13,-9999.00,-9999.000,0.61
TS/PH6a,2002-02-21,14:30,1,46.276,0.16,1134.167,6.37,0.76,0.15,-9999.00,1033.333,0.62
TS/PH6a,2002-03-25,11:00,1,62.001,0.53,1279.167,8.46,1.39,0.18,0.04,1295.000,1.21
TS/PH6a,2002-04-24,12:00,20,35.168,1.07,967.500,1.14,0.72,0.15,-9999.00,919.167,0.58
TS/PH6a,2002-05-23,13:00,21,28.021,0.45,894.167,2.45,1.82,0.39,-9999.00,870.833,1.43
TS/PH6a,2002-06-28,11:00,3,42.124,0.83,1072.500,-9999.00,-9999.00,-9999.00,-9999.00,-9999.000,-9999.00
TS/PH6a,2002-07-24,12:25,2,44.601,-9999.00,813.917,3.94,0.37,0.10,0.03,733.000,0.27
TS/PH6a,2002-08-15,11:00,1,48.294,-9999.00,755.250,3.43,0.78,0.14,-9999.00,738.083,0.64
TS/PH6a,2002-09-13,12:20,0,36.615,0.14,583.917,1.83,0.33,0.08,0.01,573.083,0.25
TS/PH6a,2002-10-11,12:40,1,43.603,0.11,726.667,1.43,0.23,0.12,0.03,729.083,0.12
