SITENAME,DATE,SALINITY,TN,TP
TS/Ph4,1998-19-08,1,37.750,1.78
TS/Ph4,1998-21-08,1,35.750,-9999.00
TS/Ph4,1998-23-08,1,38.167,-9999.00
TS/Ph4,1998-25-08,1,38.833,-9999.00
TS/Ph4,1998-27-08,1,36.583,-9999.00
TS/Ph4,1998-29-08,0,33.333,0.12
TS/Ph4,1998-31-08,1,38.833,-9999.00
TS/Ph4,1998-02-09,0,43.750,0.15
TS/Ph4,1998-04-09,0,41.500,0.16
TS/Ph4,1998-06-09,1,34.833,0.14
TS/Ph4,1998-08-09,0,35.583,0.14
TS/Ph4,1998-10-09,0,46.333,0.17
TS/Ph4,1998-12-09,1,72.857,0.41
TS/Ph4,1998-14-09,1,75.000,0.32
TS/Ph4,1998-16-09,1,55.429,0.46
TS/Ph4,1998-18-09,0,42.500,0.20
TS/Ph4,1998-20-09,0,48.929,0.16
TS/Ph4,1998-22-09,0,54.714,0.21
TS/Ph4,1998-24-09,0,62.214,0.23
TS/Ph4,1998-26-09,0,64.429,0.29
TS/Ph4,1998-28-09,0,69.929,0.13
TS/Ph4,1998-30-09,0,72.857,0.21
TS/Ph4,1998-02-10,0,92.857,0.17
TS/Ph4,1998-06-10,0,57.643,0.17
TS/Ph4,1998-11-10,0,29.571,0.20
TS/Ph4,1998-13-10,0,29.286,0.21
TS/Ph4,1998-15-10,0,31.214,-9999.00
TS/Ph4,1998-17-10,0,24.929,0.16
TS/Ph4,1998-19-10,0,22.000,0.17
TS/Ph4,1998-21-10,0,27.214,0.15
TS/Ph4,1998-13-11,0,29.214,-9999.00
TS/Ph4,1998-15-11,0,30.429,-9999.00
TS/Ph4,1998-17-11,0,27.429,-9999.00
TS/Ph4,1998-19-11,0,26.357,-9999.00
TS/Ph4,1998-21-11,0,26.500,-9999.00
TS/Ph4,1998-23-11,0,27.214,-9999.00
TS/Ph4,1998-25-11,0,26.500,-9999.00
TS/Ph4,1998-27-11,0,23.500,-9999.00
TS/Ph4,1998-29-11,0,27.929,-9999.00
TS/Ph4,1998-01-12,0,26.214,-9999.00
TS/Ph4,1998-03-12,0,27.714,-9999.00
TS/Ph4,1998-05-12,0,26.929,-9999.00
TS/Ph4,1998-10-12,1,35.143,0.20
TS/Ph4,1998-12-12,1,42.143,0.43
TS/Ph4,1998-14-12,1,62.429,0.71
TS/Ph4,1998-16-12,1,192.143,2.55
TS/Ph4,1998-18-12,1,87.857,1.27
TS/Ph4,1998-20-12,1,72.143,0.51
TS/Ph4,1998-22-12,1,90.000,1.28
TS/Ph4,1998-24-12,1,149.286,2.63
TS/Ph4,1998-26-12,0,109.286,1.62
TS/Ph4,1998-28-12,1,160.000,4.00
TS/Ph4,1998-30-12,1,187.143,1.31
TS/Ph4,1999-01-01,1,105.000,1.71
TS/Ph4,1999-03-01,0,108.571,1.25
TS/Ph4,1999-05-01,1,74.286,1.13
TS/Ph4,1999-08-01,0,49.185,0.22
TS/Ph4,1999-10-01,0,48.013,0.22
TS/Ph4,1999-12-01,0,39.162,0.18
TS/Ph4,1999-14-01,0,38.760,0.27
TS/Ph4,1999-16-01,0,38.822,0.42
TS/Ph4,1999-18-01,0,39.087,0.38
TS/Ph4,1999-20-01,0,41.524,0.23
TS/Ph4,1999-22-01,0,43.874,0.44
TS/Ph4,1999-24-01,0,43.453,0.18
TS/Ph4,1999-26-01,0,35.572,0.18
TS/Ph4,1999-28-01,0,44.259,0.19
TS/Ph4,1999-30-01,0,44.746,0.21
TS/Ph4,1999-01-02,0,47.344,0.26
TS/Ph4,1999-03-02,0,55.519,0.24
TS/Ph4,1999-05-02,0,54.849,0.20
TS/Ph4,1999-07-02,0,55.553,0.22
TS/Ph4,1999-09-02,0,54.187,0.21
TS/Ph4,1999-17-06,0,54.214,0.27
TS/Ph4,1999-19-06,0,34.643,0.35
TS/Ph4,1999-21-06,0,30.143,0.19
TS/Ph4,1999-27-06,0,27.214,0.93
TS/Ph4,1999-30-06,0,28.000,1.11
TS/Ph4,1999-03-07,0,25.071,0.20
TS/Ph4,1999-06-07,0,26.143,0.97
TS/Ph4,1999-10-07,0,24.643,0.40
TS/Ph4,1999-13-07,0,21.000,0.46
TS/Ph4,1999-16-07,0,22.643,0.54
TS/Ph4,1999-19-07,0,21.000,1.01
TS/Ph4,1999-22-07,0,21.500,0.13
TS/Ph4,1999-25-07,0,24.500,0.14
TS/Ph4,1999-28-07,0,28.000,0.11
TS/Ph4,1999-03-08,0,28.929,0.16
TS/Ph4,1999-06-08,0,19.857,0.22
TS/Ph4,1999-09-08,0,23.143,0.09
TS/Ph4,1999-14-08,0,27.571,0.16
TS/Ph4,1999-17-08,0,41.429,0.18
TS/Ph4,1999-28-08,0,35.934,0.36
TS/Ph4,1999-03-09,0,37.319,0.22
TS/Ph4,1999-20-09,0,31.483,0.19
TS/Ph4,1999-23-09,0,34.969,0.16
TS/Ph4,1999-26-09,0,31.605,0.15
TS/Ph4,1999-29-09,0,35.389,0.13
TS/Ph4,1999-10-10,0,28.163,0.13
TS/Ph4,1999-13-10,0,31.255,0.13
TS/Ph4,1999-16-10,0,35.666,0.38
TS/Ph4,1999-18-10,0,27.631,0.23
TS/Ph4,1999-21-10,0,18.501,0.23
TS/Ph4,1999-24-10,0,37.501,0.28
TS/Ph4,1999-26-10,0,36.279,0.22
TS/Ph4,1999-31-10,0,30.877,0.19
TS/Ph4,1999-03-11,0,28.977,0.17
TS/Ph4,1999-06-11,0,29.412,0.24
TS/Ph4,1999-09-11,0,30.138,0.18
TS/Ph4,1999-12-11,0,29.410,0.16
TS/Ph4,1999-15-11,0,29.148,0.15
TS/Ph4,1999-18-11,0,29.494,0.19
TS/Ph4,1999-21-11,0,30.021,0.21
TS/Ph4,1999-24-11,0,39.775,0.22
TS/Ph4,1999-27-11,0,38.415,0.22
TS/Ph4,1999-30-11,0,28.853,0.32
TS/Ph4,1999-01-12,0,26.104,0.31
TS/Ph4,1999-06-12,0,29.898,0.21
TS/Ph4,1999-09-12,0,33.590,0.19
TS/Ph4,1999-12-12,0,34.385,0.24
TS/Ph4,1999-15-12,0,31.007,0.21
TS/Ph4,1999-18-12,0,30.823,0.19
TS/Ph4,1999-21-12,0,34.953,0.19
TS/Ph4,1999-24-12,0,30.692,0.20
TS/Ph4,1999-27-12,0,34.362,0.19
TS/Ph4,1999-30-12,0,39.647,0.08
TS/Ph4,2000-02-01,0,32.362,0.07
TS/Ph4,2000-05-01,0,34.530,0.10
TS/Ph4,2000-08-01,0,39.868,0.08
TS/Ph4,2000-11-01,0,41.006,0.26
TS/Ph4,2000-12-01,0,41.272,0.06
TS/Ph4,2000-15-01,0,31.935,0.23
TS/Ph4,2000-18-01,0,42.509,0.17
TS/Ph4,2000-21-01,0,47.206,0.19
TS/Ph4,2000-24-01,0,33.151,0.19
TS/Ph4,2000-27-01,0,38.360,0.20
TS/Ph4,2000-30-01,0,36.572,0.16
TS/Ph4,2000-02-02,0,38.719,0.15
TS/Ph4,2000-05-02,0,48.902,0.29
TS/Ph4,2000-08-02,0,57.092,0.18
TS/Ph4,2000-11-02,0,42.620,0.21
TS/Ph4,2000-14-02,0,33.306,0.16
TS/Ph4,2000-17-02,0,31.707,0.18
TS/Ph4,2000-20-02,0,29.775,0.19
TS/Ph4,2000-23-02,0,25.957,0.24
TS/Ph4,2000-25-02,0,22.937,0.16
TS/Ph4,2000-14-07,0,20.207,0.23
TS/Ph4,2000-18-07,0,15.669,0.19
TS/Ph4,2000-21-07,0,14.261,0.20
TS/Ph4,2000-24-07,0,15.170,0.22
TS/Ph4,2000-27-07,0,17.798,0.29
TS/Ph4,2000-30-07,0,24.581,0.32
TS/Ph4,2000-02-08,0,23.464,0.43
TS/Ph4,2000-05-08,0,24.339,0.38
TS/Ph4,2000-08-08,0,18.865,0.40
TS/Ph4,2000-11-08,0,17.664,0.44
TS/Ph4,2000-14-08,0,17.099,0.38
TS/Ph4,2000-17-08,0,15.992,0.21
TS/Ph4,2000-20-08,0,18.836,0.23
TS/Ph4,2000-23-08,0,17.066,0.16
TS/Ph4,2000-03-09,0,32.978,0.23
TS/Ph4,2000-05-09,0,30.324,0.27
TS/Ph4,2000-09-09,0,22.534,0.18
TS/Ph4,2000-12-09,0,22.151,0.19
TS/Ph4,2000-15-09,0,29.959,0.18
TS/Ph4,2000-18-09,0,28.636,0.26
TS/Ph4,2000-21-09,0,33.311,0.17
TS/Ph4,2000-24-09,0,37.827,0.26
TS/Ph4,2000-27-09,0,31.198,0.16
TS/Ph4,2000-30-09,0,33.270,0.17
TS/Ph4,2000-03-10,0,35.798,0.28
TS/Ph4,2000-06-10,0,40.294,0.23
TS/Ph4,2000-09-10,0,39.463,0.26
TS/Ph4,2000-12-10,0,38.414,0.32
TS/Ph4,2000-21-10,0,21.413,0.23
TS/Ph4,2000-24-10,0,23.897,0.17
TS/Ph4,2000-27-10,0,24.598,0.19
TS/Ph4,2000-30-10,0,22.046,0.20
TS/Ph4,2000-01-11,0,27.463,0.23
TS/Ph4,2001-12-07,0,47.050,0.10
TS/Ph4,2001-17-08,0,26.130,0.06
TS/Ph4,2001-20-08,0,30.406,0.11
TS/Ph4,2001-23-08,0,30.734,0.08
TS/Ph4,2001-26-08,0,36.171,0.07
TS/Ph4,2001-29-08,0,29.607,0.12
TS/Ph4,2001-01-09,0,33.423,0.11
TS/Ph4,2001-04-09,0,30.315,0.47
TS/Ph4,2001-07-09,0,26.191,0.20
TS/Ph4,2001-10-09,0,25.016,0.11
TS/Ph4,2001-13-09,0,22.564,0.11
TS/Ph4,2001-16-09,0,30.456,0.41
TS/Ph4,2001-17-09,0,34.131,0.23
TS/Ph4,2001-20-09,0,31.733,0.09
TS/Ph4,2001-23-09,0,31.111,0.12
TS/Ph4,2001-26-09,0,32.485,0.15
TS/Ph4,2001-29-09,0,29.464,0.13
TS/Ph4,2001-02-10,0,34.554,0.19
TS/Ph4,2001-05-10,0,29.415,0.14
TS/Ph4,2001-08-10,0,31.932,0.17
TS/Ph4,2001-11-10,0,28.507,0.18
TS/Ph4,2001-14-10,0,28.820,0.15
