SITENAME,DATE,TIME,SALINITY,TN,TP,TOC,NH4,N&N,NO2,SRP,DOC,NO3
TS/Ph4,1998-08-12,00:00,1.0,35.071,0.17,705.833,2.26,-9999.00,-9999.00,0.03,615.000,-9999.00
TS/Ph4,1998-08-13,00:00,0.0,27.929,0.13,589.167,2.24,-9999.00,-9999.00,0.03,428.333,-9999.00
TS/Ph5,1998-08-13,00:00,0.0,54.071,-9999.00,900.000,2.69,0.86,-9999.00,0.04,883.333,-9999.00
TS/Ph4,1998-10-08,00:00,0.0,34.286,0.13,588.333,0.78,1.22,-9999.00,-9999.00,492.500,-9999.00
TS/Ph5,1998-10-08,00:00,0.0,39.571,0.15,833.333,1.20,-9999.00,-9999.00,0.10,748.333,-9999.00
TS/Ph4,1998-10-09,00:00,0.0,33.857,0.19,567.500,1.79,0.64,-9999.00,-9999.00,585.833,-9999.00
TS/Ph5,1998-10-09,00:00,0.0,46.357,-9999.00,829.167,1.29,0.50,-9999.00,-9999.00,755.000,-9999.00
TS/Ph4,1998-12-07,00:00,0.0,25.714,-9999.00,460.000,4.34,1.86,0.35,-9999.00,487.500,1.51
TS/Ph5,1998-12-07,00:00,0.0,36.714,0.13,646.667,3.69,0.71,0.36,0.03,620.000,0.35
TS/Ph4,1998-12-08,00:00,0.0,28.929,-9999.00,481.667,3.48,1.57,0.33,0.04,458.333,1.24
TS/Ph4,1999-08-10,00:00,0.0,25.500,0.02,724.333,1.67,0.86,0.11,0.01,659.167,0.75
TS/Ph5,1999-08-10,00:00,0.0,30.500,0.16,1052.500,2.04,0.60,0.23,0.02,979.167,0.37
TS/Ph4,1999-08-11,00:00,0.0,25.429,0.08,860.000,1.99,0.15,0.15,0.03,870.000,0.00
TS/Ph5,1999-08-11,00:00,0.0,27.643,0.34,1019.167,2.37,0.53,0.28,0.00,969.583,0.25
TS/Ph4,1999-10-28,00:00,0.0,30.736,0.23,568.250,3.20,1.21,0.09,0.05,581.917,1.12
TS/Ph5,1999-10-28,00:00,0.0,22.319,0.22,588.083,0.87,0.37,0.06,0.03,545.500,0.31
