SITENAME,DATE,SALINITY ,TN,TP
TS/Ph1b,1999-12-10,0.0,25.232,0.10
TS/Ph1b,1999-12-13,0.0,20.330,0.12
TS/Ph1b,1999-12-16,0.0,23.056,0.07
TS/Ph1b,1999-12-19,0.0,21.979,-9999.00
TS/Ph1b,1999-12-22,0.0,22.867,0.13
TS/Ph1b,1999-12-25,0.0,24.263,-9999.00
TS/Ph1b,1999-12-27,0.0,28.631,-9999.00
TS/Ph1b,1999-12-30,0.0,39.323,0.06
TS/Ph1b,2000-01-02,0.0,33.707,0.06
TS/Ph1b,2000-01-05,0.0,40.439,0.11
TS/Ph1b,2000-01-08,0.0,37.100,0.06
TS/Ph1b,2000-01-11,0.0,33.548,0.07
TS/Ph1b,2000-01-13,0.0,37.158,0.26
TS/Ph1b,2000-01-17,0.0,59.342,0.27
TS/Ph1b,2000-01-20,0.0,56.772,0.24
TS/Ph1b,2000-01-23,0.0,54.786,0.23
TS/Ph1b,2000-01-26,0.0,59.314,0.17
TS/Ph1b,2000-01-29,0.0,51.636,0.16
TS/Ph1b,2000-02-01,0.0,48.370,0.18
TS/Ph1b,2000-02-04,0.0,41.814,0.20
TS/Ph1b,2000-02-07,0.0,52.816,0.17
TS/Ph1b,2000-02-10,0.0,47.963,0.20
TS/Ph1b,2000-02-13,0.0,47.466,0.34
TS/Ph1b,2000-02-16,0.0,56.439,0.54
TS/Ph1b,2000-02-18,0.0,53.602,0.30
TS/Ph1b,2000-07-27,0.0,29.886,0.24
TS/Ph1b,2000-07-30,0.0,8.489,0.23
TS/Ph1b,2000-08-02,0.0,16.280,0.19
TS/Ph1b,2000-08-05,0.0,17.128,0.17
TS/Ph1b,2000-08-08,0.0,22.790,0.18
TS/Ph1b,2000-08-11,0.0,9.163,0.21
TS/Ph1b,2000-08-14,0.0,20.209,0.21
TS/Ph1b,2000-08-17,0.0,16.406,0.25
TS/Ph1b,2000-08-20,0.0,17.725,0.18
TS/Ph1b,2000-08-23,0.0,22.284,0.17
TS/Ph1b,2000-08-26,0.0,36.440,0.17
TS/Ph1b,2000-08-29,0.0,31.461,0.17
TS/Ph1b,2000-08-30,0.0,29.301,0.19
TS/Ph1b,2000-09-04,0.0,30.411,0.17
TS/Ph1b,2000-09-07,0.0,22.989,0.19
TS/Ph1b,2000-09-10,0.0,19.615,0.15
TS/Ph1b,2000-09-13,0.0,22.160,0.18
TS/Ph1b,2000-09-16,0.0,26.208,0.25
