SITENAME,DATE,TIME,SALINITY,TN,TP,TOC,NH4,N&N,NO2,SRP,DOC,NO3
TS/PH1b,2001-08-13,-9999,0.0,40.755,0.33,-9999.000,30.14,9.98,1.29,0.03,-9999.000,8.69
TS/PH1b,2001-09-07,-9999,0.0,34.024,0.25,611.250,2.16,0.42,0.07,0.03,643.583,0.35
TS/PH1b,2001-10-19,-9999,0.0,44.696,0.12,741.750,10.15,6.74,0.27,0.01,742.167,6.47
TS/PH1b,2001-11-19,-9999,0.0,49.251,0.15,673.917,-9999.00,7.09,0.16,0.00,-9999.000,6.93
TS/PH1b,2001-12-06,-9999,0.0,41.732,0.10,950.000,3.25,4.80,0.28,0.00,963.333,4.52
TS/PH1b,2002-01-03,-9999,0.0,25.903,0.16,807.333,2.81,1.55,0.07,0.00,798.167,1.48
TS/PH1b,2002-07-19,11:36,0.0,20.748,-9999.00,505.750,1.44,0.46,0.15,0.00,-9999.000,0.31
TS/PH1b,2002-08-27,11:00,0.0,23.419,-9999.00,679.833,1.11,-9999.00,-9999.00,-9999.00,-9999.000,-9999.00
TS/PH1b,2002-09-26,12:00,0.0,34.026,0.12,774.333,1.23,0.16,0.13,0.03,-9999.000,0.03
TS/PH1a,2003-06-16,11:15,0.0,33.285,0.07,572.167,4.01,0.44,0.14,0.02,597.167,0.31
TS/PH1a,2003-07-22,10:00,0.0,31.202,-9999.00,609.833,6.74,1.99,0.34,0.03,621.417,1.65
TS/PH1a,2003-08-12,10:30,0.0,51.862,0.10,675.333,3.81,0.28,0.10,0.02,723.917,0.18
TS/PH1a,2003-09-03,13:45,0.0,28.844,0.10,642.917,3.54,0.63,0.09,0.01,621.417,0.54
TS/PH1a,2003-10-15,10:00,0.0,22.453,0.10,532.333,4.13,0.27,0.11,0.03,564.500,0.16
TS/PH1a,2003-11-12,11:34,0.0,26.932,0.44,536.500,2.90,1.14,0.11,-9999.00,593.250,1.02
TS/PH1a,2003-12-11,10:30,0.0,21.429,0.12,603.750,2.73,2.44,0.11,0.02,684.750,2.33
TS/PH1a,2004-08-19,10:30,0.0,27.192,0.20,658.667,0.62,3.90,-9999.00,0.05,587.750,1.93
TS/PH1a,2004-09-27,13:45,0.0,14.608,0.18,532.667,5.51,4.08,0.12,0.14,601.167,3.95
TS/PH1a,2004-10-18,09:25,0.0,21.515,0.11,595.167,3.58,1.87,0.16,0.04,708.250,1.71
TS/PH1a,2004-11-18,08:37,0.0,22.475,0.18,682.167,2.96,1.88,0.27,0.05,756.083,1.60
TS/PH1a,2005-07-27,13:45,0.0,14.931,0.34,740.667,3.16,1.60,0.21,0.07,-9999.000,1.39
TS/PH1a,2005-08-24,13:30,0.0,19.465,0.12,-9999.000,0.89,0.17,0.08,0.00,588.417,0.10
TS/PH1a,2005-09-27,12:30,0.0,32.683,0.17,-9999.000,3.03,0.70,0.06,0.03,566.375,0.64
TS/PH1a,2005-11-03,12:00,0.0,27.504,0.82,-9999.000,6.50,0.51,0.13,0.00,645.417,0.39
TS/PH1a,2005-12-21,13:40,0.0,19.764,0.26,-9999.000,5.17,2.16,0.21,0.00,806.667,1.96
TS/PH1a,2006-01-24,09:50,0.0,22.441,0.19,-9999.000,4.35,0.58,0.08,0.02,756.000,0.49
TS/PH1a,2006-08-24,09:45,0.0,24.439,0.19,-9999.000,2.41,1.90,0.20,0.00,582.583,1.70
TS/PH1a,2006-09-26,12:20,0.0,17.845,0.33,-9999.000,3.66,1.06,0.14,0.02,571.000,0.91
TS/PH1a,2007-07-16,13:30,0.0,18.721,0.20,-9999.000,1.32,0.28,0.13,0.01,527.833,0.15
TS/PH1a,2007-08-16,10:45,0.0,29.520,0.15,-9999.000,3.12,4.01,0.17,0.01,570.250,3.83
TS/PH1a,2007-10-10,11:30,0.0,31.409,0.28,-9999.000,7.06,2.01,0.20,0.03,615.000,1.82
TS/PH1a,2007-11-05,11:40,0.0,31.099,0.24,-9999.000,8.98,3.64,0.11,0.04,1076.500,3.53
TS/PH1a,2008-09-11,11:15,0.0,17.256,0.14,-9999.000,5.97,0.70,0.08,0.07,661.167,0.62
TS/PH1a,2008-10-08,09:50,0.0,17.946,0.23,-9999.000,4.52,1.43,0.13,0.03,734.333,1.30
TS/PH1a,2008-11-05,10:41,0.0,22.585,0.18,-9999.000,4.85,0.66,0.08,0.04,704.917,0.58
TS/PH1a,2008-12-08,08:20,0.0,25.804,0.12,-9999.000,8.68,0.68,0.05,0.04,720.083,0.63
TS/PH1a,2009-06-09,10:55,0.0,53.077,0.27,-9999.000,4.15,1.67,0.19,0.05,649.417,1.48
TS/PH1a,2009-07-08,10:15,0.0,30.115,0.08,-9999.000,6.41,0.38,0.11,0.10,647.833,0.26
TS/PH1a,2009-08-04,11:20,0.0,49.303,0.10,-9999.000,5.20,0.37,0.06,0.04,787.333,0.31
TS/PH1a,2009-09-14,11:00,0.0,40.126,0.21,-9999.000,4.94,1.50,0.12,0.02,891.667,1.38
TS/PH1a,2009-10-06,11:32,0.0,45.577,0.11,-9999.000,4.50,0.43,0.07,0.04,985.000,0.37
TS/PH1a,2009-12-14,10:15,0.0,177.974,0.22,-9999.000,4.54,5.68,0.42,0.03,778.417,5.26
TS/PH1a,2010-01-06,10:30,0.0,50.008,0.28,-9999.000,2.45,11.52,0.07,0.03,768.583,11.45
TS/PH1a,2010-06-08,10:45,0.0,43.820,0.26,-9999.000,1.59,0.72,0.13,0.04,875.000,0.60
TS/PH1a,2010-07-14,11:20,0.0,35.065,0.37,-9999.000,2.18,2.09,0.16,0.04,845.000,1.93
TS/PH1a,2010-08-10,01:40,0.0,86.681,0.17,-9999.000,6.38,0.57,0.09,0.06,854.167,0.49
TS/PH1a,2010-09-27,10:45,0.0,32.667,0.64,-9999.000,3.95,2.02,0.19,0.14,766.500,1.84
TS/PH1a,2010-10-12,09:45,0.0,29.395,0.13,-9999.000,5.43,2.37,0.29,0.03,785.000,2.08
TS/PH1a,2010-11-09,12:17,0.0,32.141,0.15,-9999.000,1.18,6.89,0.24,0.06,896.667,6.65
TS/PH1a,2011-09-15,11:23,0.0,33.325,0.50,-9999.000,1.32,0.20,0.05,0.09,679.333,0.15
TS/PH1a,2011-10-04,08:45,0.0,26.701,0.17,-9999.000,1.22,1.42,0.25,0.06,508.250,1.17
TS/PH1a,2011-11-03,14:00,0.0,24.644,-9999.00,-9999.000,0.14,2.27,0.14,0.11,660.500,2.14
TS/PH1a,2011-12-06,09:40,0.0,39.864,0.18,-9999.000,4.21,5.49,0.18,0.02,559.833,5.31
TS/PH1a,2012-05-09,10:00,0.0,35.556,0.42,-9999.000,1.01,0.60,0.10,0.02,653.583,0.50
TS/PH1a,2012-06-11,08:30,0.0,42.433,0.45,-9999.000,2.57,0.42,0.07,0.02,888.000,0.36
TS/PH1a,2012-07-09,10:50,0.0,36.858,0.29,-9999.000,5.99,0.95,0.09,0.02,717.500,0.86
TS/PH1a,2012-08-06,09:45,0.0,41.728,0.25,-9999.000,3.99,0.46,0.06,0.01,742.583,0.40
TS/PH1a,2012-09-06,11:30,0.0,40.168,0.28,-9999.000,3.47,0.49,0.06,0.07,793.000,0.43
TS/PH1a,2012-10-30,09:50,0.0,33.684,0.26,-9999.000,3.42,0.57,0.06,0.01,719.583,0.50
TS/PH1a,2012-11-14,10:45,0.0,32.506,0.23,-9999.000,3.84,0.33,0.06,0.09,739.750,0.28
TS/PH1a,2012-12-10,09:45,0.0,41.800,0.35,-9999.000,13.37,0.87,0.16,0.04,698.292,0.71
TS/PH1a,2013-01-03,11:20,0.0,33.251,0.30,-9999.000,-9999.00,-9999.00,-9999.00,-9999.00,-9999.000,-9999.00
TS/PH1a,2013-06-20,10:30,0.0,38.072,0.34,-9999.000,3.62,0.90,0.11,0.03,703.333,0.80
TS/PH1a,2013-07-18,10:30,0.0,61.695,0.18,-9999.000,3.75,0.84,0.06,0.07,646.667,0.77
TS/PH1a,2013-08-12,08:50,0.0,35.653,0.28,-9999.000,4.81,0.50,0.06,0.06,832.083,0.44
TS/PH1a,2013-09-12,12:15,0.0,35.568,0.23,-9999.000,3.95,0.82,0.12,0.03,863.333,0.70
TS/PH1a,2013-10-22,10:45,0.0,37.929,0.54,-9999.000,5.21,0.85,0.08,0.06,836.667,0.76
TS/PH1a,2013-12-04,10:38,0.0,37.300,0.29,-9999.000,5.93,1.09,0.14,0.01,789.167,0.95
TS/PH1a,2014-01-07,12:20,0.0,37.225,0.50,-9999.000,4.75,5.95,0.27,0.04,793.333,5.68
TS/PH1a,2014-08-01,12:10,0.0,29.912,0.55,-9999.000,5.13,0.98,0.15,0.02,733.750,0.83
